name,location,price,capacity,rating,reviews,description
Hi-Def Events,"Newnan, GA","$2,995 starting price",253 Guests,5.0,10,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Montaluce Winery,"Dahlonega, GA","$16,000 starting price",200 Guests,4.6,48,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Piedmont Room & Piedmont Garden Tent,"Atlanta, GA","$7,000 starting price",350 Guests,4.8,191,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Cherokee Conference Center,"Canton, GA","$4,900 starting price",500 Guests,4.9,8,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
The Commerce Club,"Atlanta, GA","$10,000 starting price",200 Guests,4.8,47,Ceremony/Reception Indoor Get Ready Rooms Clean Up Bar Services.
Terminus 330,"Atlanta, GA","$23,000 starting price",250 Guests,4.9,15,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Atlanta National Golf Club,"Alpharetta, GA","$4,000 starting price",180 Guests,4.6,26,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Ivy Hall,"Roswell, GA","$18,000 starting price",300 Guests,4.9,77,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Country Club of Roswell,"Roswell, GA",,250 Guests,4.3,7,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Olde Towne Special Events,"Marietta, GA","$9,950 starting price",200 Guests,5.0,78,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Factory Atlanta,"Atlanta, GA","$5,850 starting price",300 Guests,5.0,15,Ceremony/Reception Outdoor Indoor Get Ready Rooms Outside Vendors.
The Georgia Club,"Statham, GA","$8,850 starting price",300 Guests,4.8,25,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Walnut Hill Farm,"Atlanta, GA","$4,500 starting price",300 Guests,5.0,20,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Journeyman's Hall,"Atlanta, GA","$2,000 starting price",170 Guests,5.0,2,Ceremony/Reception Indoor Get Ready Rooms Clean Up Bar Services.
The Kimpton Shane,"Atlanta, GA","$7,500 starting price",100 Guests,0,0,Ceremony/Reception Indoor Get Ready Rooms Clean Up Bar Services.
Atlanta Botanical Garden,"Atlanta, GA",$650 starting price,250 Guests,4.6,30,Ceremony/Reception Outdoor Indoor Bar Services Wifi.
Hawkesdene,"Atlanta, GA","$15,000 starting price",125 Guests,5.0,159,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Roswell Historic Hall,"Roswell, GA","$8,450 starting price",340 Guests,4.4,78,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Meadows at Mossy Creek,"Cleveland, GA","$6,400 starting price",250 Guests,4.9,27,Ceremony/Reception Outdoor Indoor Get Ready Rooms Accommodations.
Upstairs Atlanta,"Atlanta, GA","$9,000 starting price",,4.8,41,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
The Dogwood Barn at G5Ranch,"Milledgeville, GA","$4,900 starting price",300 Guests,5.0,10,Ceremony/Reception Outdoor Indoor Clean Up Accommodations.
TPC Sugarloaf,"Duluth, GA","$14,500 starting price",250 Guests,5.0,55,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Emory Conference Center Hotel,"Atlanta, GA","$12,100 starting price",,4.9,63,Clean Up.
The Cedars Weddings & Events,"Acworth, GA","$9,450 starting price",200 Guests,4.7,67,Ceremony/Reception Outdoor Indoor Clean Up Bar Services.
FORTH Hotel Atlanta,"Atlanta, GA","$25,000 starting price",300 Guests,3.4,1,Ceremony/Reception Outdoor Indoor Clean Up Bar Services.
Beaver Creek Plantation,"Twin City, GA",,300 Guests,5.0,4,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Payne-Corley House,"Duluth, GA",,200 Guests,4.9,210,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Enon Ranch,"Atlanta, GA","$9,500 starting price",299 Guests,5.0,2,Ceremony/Reception Outdoor Indoor Get Ready Rooms Outside Vendors.
Rockin' T Meadows,"Milner, GA",,200 Guests,5.0,53,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
The Classic Center,"Athens, GA",,6000 Guests,4.8,8,Ceremony/Reception Indoor Event Planner Event Rentals.
Kimball Hall,"Roswell, GA","$13,250 starting price",200 Guests,4.9,54,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
"In The Woods, LLC","Rockmart, GA","$12,500 starting price",250 Guests,5.0,101,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
Little River Farms,"Alpharetta, GA",,250 Guests,4.9,75,Ceremony/Reception Outdoor Indoor Get Ready Rooms Clean Up.
